

Training : at 	1526651306.2056246
 Epoch :0, 	Average cost:2.0476867741551894

 Dev Accuracy : 23.684210526315788
 Average Dev Cost : 
 2.0352
[torch.cuda.FloatTensor of size 1 (GPU 0)]


 Testing : 
 Input 			 Prediction 	 Actual
piano:violin			mero	coord
chair:bed			coord	coord
piano:keyboard			mero	mero
restaurant:bar			random-n	mero
chair:support			coord	event
car:speed			coord	event
van:car			event	coord
horse:head			mero	mero
fridge:freezer			coord	coord
hotel:room			mero	mero
piano:cello			coord	coord
castle:queen			random-n	mero
train:new			hyper	attri
car:van			coord	coord
guitar:bass			random-n	coord
bus:ride			mero	event
jacket:trousers			coord	coord
hotel:pub			coord	coord
bed:chair			mero	coord
oven:toaster			hyper	coord
bowl:water			mero	mero
hospital:school			coord	coord
library:public			mero	attri
hotel:visit			mero	event
clarinet:piano			coord	coord
hospital:ward			coord	mero
onion:fry			random-n	event
bus:stop			mero	event
train:coach			mero	mero
oven:fridge			hyper	coord
library:form			coord	random-v
bed:sleep			mero	event
hospital:maternity			random-n	mero
lion:tiger			event	coord
bed:desk			mero	coord
gun:knife			coord	coord
hospital:room			attri	mero
car:bicycle			coord	coord
pub:inn			mero	coord
television:show			mero	event
oven:grill			hyper	event
freezer:oven			mero	coord
bull:head			mero	mero
car:engine			coord	mero
radio:broadcast			coord	event
hotel:old			coord	attri
hotel:bar			random-n	mero
train:rail			hyper	mero
guitar:piano			coord	coord
hotel:range			mero	random-v
television:computer			hyper	coord
table:round			coord	attri
car:vehicle			coord	hyper
box:bottom			random-v	mero
sheep:wool			coord	mero
bed:sofa			mero	coord
television:channel			hyper	mero
flute:clarinet			coord	coord
car:park			coord	event
radio:phone			coord	coord
phone:number			mero	mero
bottle:glass			mero	coord
car:use			mero	event
restaurant:chef			coord	mero
chair:commission			coord	random-v
car:work			coord	event
hotel:new			mero	attri
oven:microwave			hyper	mero
castle:tower			mero	mero
cottage:home			mero	hyper
bus:driver			coord	mero
castle:hall			mero	mero
guitar:organ			coord	coord
train:track			attri	mero
radio:system			coord	hyper
freezer:dishwasher			mero	coord
phone:device			mero	hyper
hotel:suite			mero	mero
knife:blade			coord	mero
hospital:nurse			coord	mero
phone:radio			mero	coord
restaurant:food			mero	mero
bus:transport			mero	event
cow:milk			coord	event
library:book			mero	mero
chair:table			coord	coord
library:national			mero	attri
sofa:bed			coord	coord
cello:piano			coord	coord
library:study			mero	event
train:car			hyper	coord
hotel:manager			mero	mero
bag:box			coord	coord
car:front			coord	mero
library:political			coord	random-j
table:chair			mero	coord
shirt:trousers			random-v	coord
hotel:great			mero	random-j
car:ferry			coord	coord
library:store			coord	event
sofa:table			random-n	coord
flute:guitar			coord	coord
flute:oboe			coord	coord
cottage:bedroom			coord	mero
table:new			coord	attri
bus:park			mero	event
cathedral:tower			coord	mero
castle:cathedral			random-n	coord
television:video			mero	mero
bottle:water			mero	mero
oak:wood			coord	mero
hospital:surgery			event	mero
box:wood			mero	mero
 Test Accuracy :32.743362831858406
 Epoch :1, 	Average cost:2.001534552409731

 Dev Accuracy : 28.947368421052634
 Average Dev Cost : 
 2.0006
[torch.cuda.FloatTensor of size 1 (GPU 0)]


 Testing : 
 Input 			 Prediction 	 Actual
piano:violin			coord	coord
chair:bed			coord	coord
piano:keyboard			mero	mero
restaurant:bar			coord	mero
chair:support			coord	event
car:speed			coord	event
van:car			event	coord
horse:head			mero	mero
fridge:freezer			coord	coord
hotel:room			mero	mero
piano:cello			coord	coord
castle:queen			mero	mero
train:new			mero	attri
car:van			coord	coord
guitar:bass			coord	coord
bus:ride			mero	event
jacket:trousers			coord	coord
hotel:pub			coord	coord
bed:chair			mero	coord
oven:toaster			mero	coord
bowl:water			mero	mero
hospital:school			coord	coord
library:public			mero	attri
hotel:visit			mero	event
clarinet:piano			coord	coord
hospital:ward			coord	mero
onion:fry			coord	event
bus:stop			mero	event
train:coach			mero	mero
oven:fridge			coord	coord
library:form			coord	random-v
bed:sleep			mero	event
hospital:maternity			mero	mero
lion:tiger			coord	coord
bed:desk			mero	coord
gun:knife			coord	coord
hospital:room			coord	mero
car:bicycle			coord	coord
pub:inn			mero	coord
television:show			mero	event
oven:grill			hyper	event
freezer:oven			mero	coord
bull:head			mero	mero
car:engine			coord	mero
radio:broadcast			coord	event
hotel:old			mero	attri
hotel:bar			coord	mero
train:rail			coord	mero
guitar:piano			coord	coord
hotel:range			mero	random-v
television:computer			mero	coord
table:round			coord	attri
car:vehicle			coord	hyper
box:bottom			mero	mero
sheep:wool			coord	mero
bed:sofa			mero	coord
