

Training : at 	1527268829.169707
 Epoch :0, 	Average cost:2.0407367725121346

 Dev Accuracy : 51.0
 Average Dev Cost : 
 1.2474
[torch.cuda.FloatTensor of size 1 (GPU 0)]


 Testing : 
 Input 			 Prediction 	 Actual
bed:mattress			mero	mero
bottle:milk			mero	mero
freezer:dishwasher			coord	coord
table:support			event	event
lion:tiger			coord	coord
bottle:beer			mero	mero
box:inside			mero	mero
hospital:work			event	event
box:side			mero	mero
guitar:bass			coord	coord
violin:flute			coord	coord
hotel:castle			coord	coord
hotel:villa			coord	coord
box:wood			mero	mero
pub:table			mero	mero
rifle:gun			coord	coord
van:vehicle			coord	hyper
car:motorcycle			coord	coord
sword:dagger			coord	coord
bus:truck			coord	coord
car:truck			coord	coord
restaurant:castle			mero	coord
coat:scarf			coord	coord
car:train			coord	coord
flute:bass			coord	coord
butterfly:moth			coord	coord
bag:paper			mero	mero
sofa:chair			coord	coord
car:park			coord	event
car:transport			event	hyper
horse:cow			coord	coord
dolphin:whale			coord	coord
box:paper			mero	mero
banana:apple			coord	coord
library:open			event	event
oven:grill			mero	mero
library:company			event	random-n
rabbit:pig			coord	coord
truck:bus			coord	coord
piano:clarinet			coord	coord
fox:head			mero	mero
flute:trumpet			coord	coord
train:great			coord	random-j
cow:milk			mero	event
phone:talk			event	event
hotel:variety			mero	random-n
box:basket			coord	coord
car:corner			mero	random-n
hospital:construction			event	hyper
chair:support			mero	event
hospital:center			coord	mero
radio:broadcast			event	event
cauliflower:broccoli			coord	coord
piano:violin			coord	coord
television:new			mero	attri
desk:bed			coord	coord
restaurant:manager			mero	mero
car:oil			mero	mero
willow:poplar			coord	coord
carrot:onion			coord	coord
tuna:fish			coord	event
sheep:breed			hyper	event
dishwasher:freezer			coord	coord
car:back			mero	mero
bus:transport			event	hyper
sheep:cow			coord	coord
fighter:aircraft			hyper	hyper
car:plate			mero	mero
pine:oak			coord	coord
piano:string			coord	mero
stereo:digital			mero	attri
hat:top			mero	mero
shirt:socks			coord	coord
villa:hotel			coord	coord
television:sound			mero	event
box:container			mero	hyper
dress:hat			coord	coord
chair:study			event	event
goose:duck			coord	coord
car:break			event	event
hawk:eagle			coord	coord
box:school			mero	random-n
pub:hotel			coord	coord
crow:nest			coord	event
pub:beer			mero	mero
sheep:deer			coord	coord
car:engine			mero	mero
hospital:chapel			mero	mero
chair:back			mero	mero
cow:pig			coord	coord
bull:eye			event	mero
train:board			event	event
pub:work			event	event
shirt:cotton			mero	mero
cottage:door			mero	mero
phone:new			event	attri
bowl:soup			coord	mero
guitar:trumpet			coord	coord
birch:pine			coord	coord
bowl:glass			mero	mero
guitar:piano			coord	coord
hotel:old			coord	attri
cottage:kitchen			mero	mero
hammer:nail			mero	coord
elephant:giraffe			coord	coord
saxophone:clarinet			coord	coord
salmon:herring			coord	coord
hotel:stay			event	event
rifle:ammunition			mero	mero
onion:cook			coord	event
car:fuel			event	event
table:furniture			coord	hyper
herring:salmon			coord	coord
jacket:leather			mero	mero
hotel:drink			event	event
box:plastic			mero	mero
hotel:show			event	random-n
stove:oven			mero	coord
bus:hospital			coord	random-n
broccoli:beans			coord	coord
car:floor			mero	mero
pig:head			mero	mero
piano:sound			mero	event
car:light			mero	mero
sheep:milk			coord	event
cottage:roof			mero	mero
chair:new			coord	attri
hospital:hotel			mero	coord
car:photo			event	random-n
hospital:practice			event	random-n
hotel:great			coord	random-j
bed:furniture			mero	hyper
library:new			attri	attri
piano:saxophone			coord	coord
table:new			event	attri
oak:wood			mero	mero
car:turn			event	event
onion:celery			coord	coord
library:centre			coord	random-v
flute:cello			coord	coord
library:staff			event	mero
train:carriage			mero	mero
car:driver			mero	mero
hotel:lady			mero	random-n
bull:director			mero	random-n
trout:fish			hyper	event
car:motorbike			coord	coord
box:lid			mero	mero
castle:home			hyper	hyper
car:bicycle			coord	coord
washer:freezer			coord	coord
hospital:bed			mero	mero
bus:board			event	event
pigeon:dove			coord	coord
car:use			event	event
horse:mule			coord	coord
television:digital			mero	attri
piano:trumpet			coord	coord
hospital:state			mero	random-n
oven:freezer			coord	coord
bus:work			event	event
cottage:standard			mero	random-n
radio:system			mero	hyper
fridge:dishwasher			coord	coord
vulture:hawk			coord	coord
piano:organ			coord	coord
dress:clothes			mero	hyper
phone:mobile			coord	attri
tuna:fish			coord	hyper
box:colour			mero	mero
television:phone			mero	coord
car:work			event	event
horse:dog			coord	coord
castle:wall			mero	mero
train:track			mero	mero
gun:ammunition			mero	mero
restaurant:door			mero	mero
castle:room			mero	mero
guitar:flute			coord	coord
coat:collar			mero	mero
bus:high			coord	random-j
horse:elephant			coord	coord
ferry:travel			event	event
eagle:nest			coord	event
pub:bar			mero	coord
jacket:hat			coord	coord
car:race			event	event
hat:jacket			coord	coord
pub:food			mero	mero
cathedral:site			hyper	hyper
sheep:animal			hyper	hyper
goods:services			coord	random-n
car:ride			event	event
bear:head			mero	mero
television:broadcast			event	event
hospital:purpose			event	random-n
restaurant:pub			coord	coord
truck:car			coord	coord
guitar:voice			coord	random-n
bowl:mix			mero	event
yacht:boat			coord	hyper
library:construction			event	hyper
saxophone:trumpet			coord	coord
dress:music			coord	random-n
hat:brim			mero	mero
car:windscreen			mero	mero
library:computer			event	mero
clarinet:horn			coord	coord
guitar:harmonica			coord	coord
lemon:orange			coord	coord
trumpet:trombone			coord	coord
cottage:furniture			mero	mero
hospital:staff			mero	mero
mackerel:fish			coord	hyper
elephant:lion			coord	coord
hotel:close			coord	event
car:bike			coord	coord
chair:work			event	event
hammer:anvil			mero	coord
bus:use			event	event
library:old			coord	attri
giraffe:zebra			coord	coord
jar:lid			mero	mero
desk:chair			coord	coord
phone:use			event	event
cottage:wood			mero	mero
hotel:luxury			mero	attri
phone:button			mero	mero
cottage:hotel			coord	coord
dress:jacket			mero	coord
bus:front			coord	mero
hotel:desk			mero	mero
castle:king			mero	mero
rabbit:hare			coord	coord
violin:clarinet			coord	coord
restaurant:person			event	mero
saxophone:guitar			coord	coord
castle:prince			mero	mero
box:pack			mero	event
hotel:inn			coord	coord
car:front			mero	mero
car:crash			event	event
restaurant:hotel			coord	coord
ambulance:call			event	event
violin:cello			coord	coord
dove:pigeon			coord	coord
hotel:wood			mero	mero
chair:labour			event	random-n
cottage:accommodation			mero	hyper
spinach:broccoli			coord	coord
apple:pear			coord	coord
wardrobe:clothes			mero	mero
car:set			mero	random-v
pub:drink			event	mero
bag:case			mero	coord
gun:fire			mero	event
garlic:parsley			coord	coord
hospital:new			mero	attri
pub:restaurant			mero	coord
cottage:visit			event	event
sofa:table			coord	coord
restaurant:bar			mero	mero
stove:heat			mero	event
train:ferry			coord	coord
oven:cook			event	event
cod:fish			coord	event
sheep:goat			coord	coord
phone:call			event	event
television:screen			mero	mero
pine:tree			coord	hyper
oven:toaster			coord	coord
car:passenger			coord	mero
knife:spoon			coord	coord
restaurant:drink			mero	event
car:garden			mero	random-n
car:top			mero	mero
horse:head			mero	mero
car:van			coord	coord
table:th			event	random-n
castle:house			hyper	hyper
flute:saxophone			coord	coord
chair:desk			mero	coord
sword:weapon			mero	hyper
restaurant:chef			mero	mero
cottage:floor			mero	mero
desk:work			event	event
bus:passenger			coord	mero
celery:garlic			coord	coord
chair:table			mero	coord
box:store			mero	event
bed:round			mero	attri
pub:building			hyper	hyper
phone:dial			mero	mero
clarinet:cello			coord	coord
hotel:bedroom			mero	mero
hotel:cottage			coord	coord
restaurant:bar			mero	coord
bed:chair			coord	coord
ferry:train			coord	coord
rifle:gun			coord	hyper
castle:site			hyper	hyper
 Test Accuracy :67.77408637873754
 Epoch :1, 	Average cost:1.6079217320994328

 Dev Accuracy : 65.0
 Average Dev Cost : 
 1.0346
[torch.cuda.FloatTensor of size 1 (GPU 0)]


 Testing : 
 Input 			 Prediction 	 Actual
bed:mattress			mero	mero
bottle:milk			mero	mero
freezer:dishwasher			coord	coord
table:support			event	event
lion:tiger			coord	coord
bottle:beer			mero	mero
box:inside			mero	mero
hospital:work			event	event
box:side			mero	mero
guitar:bass			coord	coord
violin:flute			coord	coord
hotel:castle			attri	coord
hotel:villa			hyper	coord
box:wood			mero	mero
pub:table			mero	mero
rifle:gun			mero	coord
van:vehicle			hyper	hyper
car:motorcycle			coord	coord
sword:dagger			coord	coord
bus:truck			coord	coord
car:truck			mero	coord
restaurant:castle			mero	coord
coat:scarf			coord	coord
car:train			event	coord
flute:bass			coord	coord
butterfly:moth			coord	coord
bag:paper			mero	mero
sofa:chair			coord	coord
car:park			event	event
car:transport			event	hyper
horse:cow			coord	coord
dolphin:whale			coord	coord
box:paper			mero	mero
banana:apple			coord	coord
library:open			event	event
oven:grill			mero	mero
library:company			event	random-n
rabbit:pig			coord	coord
truck:bus			event	coord
piano:clarinet			coord	coord
fox:head			mero	mero
flute:trumpet			coord	coord
train:great			event	random-j
cow:milk			event	event
phone:talk			mero	event
hotel:variety			mero	random-n
box:basket			coord	coord
car:corner			mero	random-n
hospital:construction			mero	hyper
chair:support			mero	event
hospital:center			coord	mero
radio:broadcast			event	event
cauliflower:broccoli			coord	coord
piano:violin			coord	coord
television:new			mero	attri
desk:bed			coord	coord
restaurant:manager			mero	mero
car:oil			mero	mero
willow:poplar			coord	coord
carrot:onion			coord	coord
tuna:fish			hyper	event
sheep:breed			hyper	event
dishwasher:freezer			coord	coord
car:back			mero	mero
bus:transport			event	hyper
sheep:cow			coord	coord
fighter:aircraft			hyper	hyper
car:plate			mero	mero
pine:oak			coord	coord
piano:string			coord	mero
stereo:digital			mero	attri
hat:top			mero	mero
shirt:socks			coord	coord
villa:hotel			hyper	coord
television:sound			mero	event
box:container			mero	hyper
dress:hat			coord	coord
chair:study			event	event
goose:duck			coord	coord
car:break			event	event
hawk:eagle			coord	coord
box:school			mero	random-n
pub:hotel			coord	coord
crow:nest			coord	event
pub:beer			mero	mero
sheep:deer			coord	coord
car:engine			mero	mero
hospital:chapel			mero	mero
chair:back			mero	mero
cow:pig			coord	coord
bull:eye			event	mero
train:board			event	event
pub:work			event	event
shirt:cotton			mero	mero
cottage:door			mero	mero
phone:new			event	attri
bowl:soup			coord	mero
guitar:trumpet			coord	coord
birch:pine			coord	coord
bowl:glass			mero	mero
guitar:piano			coord	coord
hotel:old			attri	attri
cottage:kitchen			mero	mero
hammer:nail			event	coord
elephant:giraffe			coord	coord
saxophone:clarinet			coord	coord
salmon:herring			coord	coord
hotel:stay			event	event
rifle:ammunition			mero	mero
onion:cook			coord	event
car:fuel			mero	event
table:furniture			coord	hyper
herring:salmon			coord	coord
jacket:leather			coord	mero
hotel:drink			event	event
box:plastic			mero	mero
hotel:show			event	random-n
stove:oven			mero	coord
bus:hospital			event	random-n
broccoli:beans			coord	coord
car:floor			mero	mero
pig:head			mero	mero
piano:sound			event	event
car:light			mero	mero
sheep:milk			event	event
cottage:roof			mero	mero
chair:new			attri	attri
hospital:hotel			mero	coord
car:photo			event	random-n
hospital:practice			mero	random-n
hotel:great			attri	random-j
bed:furniture			coord	hyper
library:new			attri	attri
piano:saxophone			coord	coord
table:new			event	attri
oak:wood			mero	mero
car:turn			event	event
onion:celery			coord	coord
library:centre			attri	random-v
flute:cello			coord	coord
library:staff			mero	mero
train:carriage			mero	mero
car:driver			mero	mero
hotel:lady			mero	random-n
bull:director			mero	random-n
trout:fish			hyper	event
car:motorbike			coord	coord
box:lid			mero	mero
castle:home			hyper	hyper
car:bicycle			coord	coord
washer:freezer			coord	coord
hospital:bed			mero	mero
bus:board			event	event
pigeon:dove			coord	coord
car:use			event	event
horse:mule			coord	coord
television:digital			mero	attri
piano:trumpet			coord	coord
hospital:state			mero	random-n
oven:freezer			coord	coord
bus:work			event	event
cottage:standard			mero	random-n
radio:system			mero	hyper
fridge:dishwasher			coord	coord
vulture:hawk			coord	coord
piano:organ			coord	coord
dress:clothes			mero	hyper
phone:mobile			random-v	attri
tuna:fish			hyper	hyper
box:colour			mero	mero
television:phone			mero	coord
car:work			event	event
horse:dog			coord	coord
castle:wall			mero	mero
train:track			mero	mero
gun:ammunition			mero	mero
restaurant:door			mero	mero
castle:room			mero	mero
guitar:flute			coord	coord
coat:collar			mero	mero
bus:high			event	random-j
horse:elephant			coord	coord
ferry:travel			event	event
eagle:nest			coord	event
pub:bar			mero	coord
jacket:hat			coord	coord
car:race			event	event
hat:jacket			coord	coord
pub:food			mero	mero
cathedral:site			hyper	hyper
sheep:animal			hyper	hyper
goods:services			event	random-n
car:ride			event	event
bear:head			mero	mero
television:broadcast			mero	event
hospital:purpose			attri	random-n
restaurant:pub			mero	coord
truck:car			mero	coord
guitar:voice			coord	random-n
bowl:mix			mero	event
yacht:boat			coord	hyper
library:construction			event	hyper
saxophone:trumpet			coord	coord
dress:music			mero	random-n
hat:brim			mero	mero
car:windscreen			mero	mero
library:computer			mero	mero
clarinet:horn			coord	coord
guitar:harmonica			coord	coord
lemon:orange			coord	coord
trumpet:trombone			coord	coord
cottage:furniture			mero	mero
hospital:staff			mero	mero
mackerel:fish			event	hyper
elephant:lion			coord	coord
hotel:close			attri	event
car:bike			coord	coord
chair:work			event	event
hammer:anvil			mero	coord
bus:use			event	event
library:old			attri	attri
giraffe:zebra			coord	coord
jar:lid			mero	mero
desk:chair			coord	coord
phone:use			event	event
cottage:wood			mero	mero
hotel:luxury			mero	attri
phone:button			mero	mero
cottage:hotel			hyper	coord
dress:jacket			coord	coord
bus:front			mero	mero
hotel:desk			mero	mero
castle:king			mero	mero
rabbit:hare			coord	coord
violin:clarinet			coord	coord
restaurant:person			mero	mero
saxophone:guitar			coord	coord
castle:prince			mero	mero
box:pack			mero	event
hotel:inn			coord	coord
car:front			mero	mero
car:crash			event	event
restaurant:hotel			coord	coord
ambulance:call			event	event
violin:cello			coord	coord
