

Training : at 	1527268904.7300506
 Epoch :0, 	Average cost:2.0215600509392586

 Dev Accuracy : 59.0
 Average Dev Cost : 
 1.1612
[torch.cuda.FloatTensor of size 1 (GPU 0)]


 Testing : 
 Input 			 Prediction 	 Actual
bed:mattress			mero	mero
bottle:milk			mero	mero
freezer:dishwasher			coord	coord
table:support			event	event
lion:tiger			mero	coord
bottle:beer			mero	mero
box:inside			mero	mero
hospital:work			mero	event
box:side			mero	mero
guitar:bass			coord	coord
violin:flute			coord	coord
hotel:castle			attri	coord
hotel:villa			mero	coord
box:wood			mero	mero
pub:table			mero	mero
rifle:gun			mero	coord
van:vehicle			mero	hyper
car:motorcycle			coord	coord
sword:dagger			coord	coord
bus:truck			coord	coord
car:truck			mero	coord
restaurant:castle			mero	coord
coat:scarf			coord	coord
car:train			event	coord
flute:bass			coord	coord
butterfly:moth			coord	coord
bag:paper			mero	mero
sofa:chair			coord	coord
car:park			mero	event
car:transport			event	hyper
horse:cow			coord	coord
dolphin:whale			coord	coord
box:paper			mero	mero
banana:apple			coord	coord
library:open			mero	event
oven:grill			coord	mero
library:company			mero	random-n
rabbit:pig			coord	coord
truck:bus			coord	coord
piano:clarinet			coord	coord
fox:head			mero	mero
flute:trumpet			coord	coord
train:great			mero	random-j
cow:milk			mero	event
phone:talk			mero	event
hotel:variety			mero	random-n
box:basket			mero	coord
car:corner			mero	random-n
hospital:construction			mero	hyper
chair:support			mero	event
hospital:center			mero	mero
radio:broadcast			mero	event
cauliflower:broccoli			coord	coord
piano:violin			coord	coord
television:new			mero	attri
desk:bed			coord	coord
restaurant:manager			mero	mero
car:oil			mero	mero
willow:poplar			coord	coord
carrot:onion			coord	coord
tuna:fish			coord	event
sheep:breed			hyper	event
dishwasher:freezer			coord	coord
car:back			mero	mero
bus:transport			event	hyper
sheep:cow			coord	coord
fighter:aircraft			mero	hyper
car:plate			mero	mero
pine:oak			coord	coord
piano:string			coord	mero
stereo:digital			mero	attri
hat:top			mero	mero
shirt:socks			coord	coord
villa:hotel			mero	coord
television:sound			mero	event
box:container			mero	hyper
dress:hat			coord	coord
chair:study			event	event
goose:duck			coord	coord
car:break			mero	event
hawk:eagle			coord	coord
box:school			mero	random-n
pub:hotel			mero	coord
crow:nest			coord	event
pub:beer			mero	mero
sheep:deer			coord	coord
car:engine			mero	mero
hospital:chapel			mero	mero
chair:back			mero	mero
cow:pig			coord	coord
bull:eye			mero	mero
train:board			mero	event
pub:work			mero	event
shirt:cotton			mero	mero
cottage:door			mero	mero
phone:new			mero	attri
bowl:soup			coord	mero
guitar:trumpet			coord	coord
birch:pine			coord	coord
bowl:glass			mero	mero
guitar:piano			coord	coord
hotel:old			attri	attri
cottage:kitchen			mero	mero
hammer:nail			mero	coord
elephant:giraffe			coord	coord
saxophone:clarinet			coord	coord
salmon:herring			coord	coord
hotel:stay			mero	event
rifle:ammunition			mero	mero
onion:cook			coord	event
car:fuel			mero	event
table:furniture			coord	hyper
herring:salmon			coord	coord
jacket:leather			mero	mero
hotel:drink			mero	event
box:plastic			mero	mero
hotel:show			mero	random-n
stove:oven			coord	coord
bus:hospital			mero	random-n
broccoli:beans			coord	coord
car:floor			mero	mero
pig:head			mero	mero
piano:sound			mero	event
car:light			mero	mero
sheep:milk			mero	event
cottage:roof			mero	mero
chair:new			coord	attri
hospital:hotel			mero	coord
car:photo			mero	random-n
hospital:practice			mero	random-n
hotel:great			attri	random-j
bed:furniture			mero	hyper
library:new			attri	attri
piano:saxophone			coord	coord
table:new			event	attri
oak:wood			mero	mero
car:turn			mero	event
onion:celery			coord	coord
library:centre			mero	random-v
flute:cello			coord	coord
library:staff			mero	mero
train:carriage			mero	mero
car:driver			mero	mero
hotel:lady			mero	random-n
bull:director			mero	random-n
trout:fish			coord	event
car:motorbike			coord	coord
box:lid			mero	mero
castle:home			hyper	hyper
car:bicycle			coord	coord
washer:freezer			coord	coord
hospital:bed			mero	mero
bus:board			mero	event
pigeon:dove			coord	coord
car:use			event	event
horse:mule			coord	coord
television:digital			mero	attri
piano:trumpet			coord	coord
hospital:state			mero	random-n
oven:freezer			coord	coord
bus:work			event	event
cottage:standard			mero	random-n
radio:system			mero	hyper
fridge:dishwasher			coord	coord
vulture:hawk			coord	coord
piano:organ			coord	coord
dress:clothes			mero	hyper
phone:mobile			mero	attri
tuna:fish			coord	hyper
box:colour			mero	mero
television:phone			coord	coord
car:work			mero	event
horse:dog			coord	coord
castle:wall			mero	mero
train:track			mero	mero
gun:ammunition			mero	mero
restaurant:door			mero	mero
castle:room			mero	mero
guitar:flute			coord	coord
coat:collar			coord	mero
bus:high			mero	random-j
horse:elephant			coord	coord
ferry:travel			event	event
eagle:nest			mero	event
pub:bar			mero	coord
jacket:hat			coord	coord
car:race			mero	event
hat:jacket			coord	coord
pub:food			mero	mero
cathedral:site			mero	hyper
sheep:animal			coord	hyper
goods:services			hyper	random-n
car:ride			mero	event
bear:head			mero	mero
television:broadcast			mero	event
hospital:purpose			mero	random-n
restaurant:pub			mero	coord
truck:car			mero	coord
guitar:voice			coord	random-n
bowl:mix			coord	event
yacht:boat			coord	hyper
library:construction			event	hyper
saxophone:trumpet			coord	coord
dress:music			mero	random-n
hat:brim			mero	mero
car:windscreen			mero	mero
library:computer			mero	mero
clarinet:horn			coord	coord
guitar:harmonica			coord	coord
lemon:orange			coord	coord
trumpet:trombone			coord	coord
cottage:furniture			mero	mero
hospital:staff			mero	mero
mackerel:fish			coord	hyper
elephant:lion			coord	coord
hotel:close			attri	event
car:bike			coord	coord
chair:work			mero	event
hammer:anvil			mero	coord
bus:use			event	event
library:old			mero	attri
giraffe:zebra			coord	coord
jar:lid			mero	mero
desk:chair			coord	coord
phone:use			mero	event
cottage:wood			mero	mero
hotel:luxury			mero	attri
phone:button			mero	mero
cottage:hotel			mero	coord
dress:jacket			coord	coord
bus:front			mero	mero
hotel:desk			mero	mero
castle:king			mero	mero
rabbit:hare			coord	coord
violin:clarinet			coord	coord
restaurant:person			mero	mero
saxophone:guitar			coord	coord
castle:prince			mero	mero
box:pack			mero	event
hotel:inn			mero	coord
car:front			mero	mero
car:crash			mero	event
restaurant:hotel			mero	coord
ambulance:call			mero	event
violin:cello			coord	coord
dove:pigeon			coord	coord
hotel:wood			mero	mero
chair:labour			random-n	random-n
cottage:accommodation			mero	hyper
spinach:broccoli			coord	coord
apple:pear			coord	coord
wardrobe:clothes			mero	mero
car:set			mero	random-v
pub:drink			mero	mero
bag:case			mero	coord
gun:fire			mero	event
garlic:parsley			coord	coord
hospital:new			mero	attri
pub:restaurant			mero	coord
cottage:visit			event	event
sofa:table			coord	coord
restaurant:bar			mero	mero
stove:heat			mero	event
train:ferry			coord	coord
oven:cook			event	event
cod:fish			coord	event
sheep:goat			coord	coord
phone:call			mero	event
television:screen			mero	mero
pine:tree			coord	hyper
oven:toaster			coord	coord
car:passenger			mero	mero
knife:spoon			coord	coord
restaurant:drink			mero	event
car:garden			mero	random-n
car:top			mero	mero
horse:head			mero	mero
car:van			coord	coord
table:th			mero	random-n
castle:house			mero	hyper
flute:saxophone			coord	coord
chair:desk			mero	coord
sword:weapon			mero	hyper
restaurant:chef			mero	mero
cottage:floor			mero	mero
desk:work			mero	event
bus:passenger			event	mero
celery:garlic			coord	coord
chair:table			mero	coord
box:store			mero	event
bed:round			mero	attri
pub:building			mero	hyper
phone:dial			mero	mero
clarinet:cello			coord	coord
hotel:bedroom			mero	mero
hotel:cottage			mero	coord
restaurant:bar			mero	coord
bed:chair			coord	coord
ferry:train			coord	coord
rifle:gun			mero	hyper
castle:site			hyper	hyper
 Test Accuracy :57.475083056478404
 Epoch :1, 	Average cost:1.5804968382182873

 Dev Accuracy : 64.0
 Average Dev Cost : 
 1.1287
[torch.cuda.FloatTensor of size 1 (GPU 0)]


 Testing : 
 Input 			 Prediction 	 Actual
bed:mattress			coord	mero
bottle:milk			coord	mero
freezer:dishwasher			coord	coord
table:support			event	event
lion:tiger			coord	coord
bottle:beer			coord	mero
box:inside			mero	mero
hospital:work			event	event
box:side			mero	mero
guitar:bass			coord	coord
violin:flute			coord	coord
hotel:castle			attri	coord
hotel:villa			hyper	coord
box:wood			mero	mero
pub:table			mero	mero
rifle:gun			coord	coord
van:vehicle			hyper	hyper
car:motorcycle			coord	coord
sword:dagger			coord	coord
bus:truck			coord	coord
car:truck			coord	coord
restaurant:castle			coord	coord
coat:scarf			coord	coord
car:train			coord	coord
flute:bass			coord	coord
butterfly:moth			coord	coord
bag:paper			coord	mero
sofa:chair			coord	coord
car:park			coord	event
car:transport			event	hyper
horse:cow			coord	coord
dolphin:whale			coord	coord
box:paper			coord	mero
banana:apple			coord	coord
library:open			attri	event
oven:grill			coord	mero
library:company			event	random-n
rabbit:pig			coord	coord
truck:bus			coord	coord
piano:clarinet			coord	coord
fox:head			coord	mero
flute:trumpet			coord	coord
train:great			attri	random-j
cow:milk			mero	event
phone:talk			event	event
hotel:variety			mero	random-n
box:basket			coord	coord
car:corner			mero	random-n
hospital:construction			mero	hyper
chair:support			mero	event
hospital:center			coord	mero
radio:broadcast			event	event
cauliflower:broccoli			coord	coord
piano:violin			coord	coord
television:new			attri	attri
desk:bed			coord	coord
restaurant:manager			coord	mero
car:oil			mero	mero
willow:poplar			coord	coord
carrot:onion			coord	coord
tuna:fish			coord	event
sheep:breed			hyper	event
dishwasher:freezer			coord	coord
car:back			coord	mero
bus:transport			event	hyper
sheep:cow			coord	coord
fighter:aircraft			hyper	hyper
car:plate			mero	mero
pine:oak			coord	coord
piano:string			coord	mero
stereo:digital			hyper	attri
hat:top			coord	mero
shirt:socks			coord	coord
villa:hotel			coord	coord
television:sound			mero	event
box:container			coord	hyper
dress:hat			coord	coord
chair:study			random-n	event
goose:duck			coord	coord
car:break			event	event
hawk:eagle			coord	coord
box:school			attri	random-n
pub:hotel			coord	coord
crow:nest			coord	event
pub:beer			mero	mero
sheep:deer			coord	coord
car:engine			mero	mero
hospital:chapel			mero	mero
chair:back			mero	mero
cow:pig			coord	coord
bull:eye			mero	mero
train:board			event	event
pub:work			event	event
shirt:cotton			coord	mero
cottage:door			mero	mero
phone:new			attri	attri
bowl:soup			coord	mero
guitar:trumpet			coord	coord
birch:pine			coord	coord
bowl:glass			coord	mero
guitar:piano			coord	coord
hotel:old			attri	attri
cottage:kitchen			mero	mero
hammer:nail			event	coord
elephant:giraffe			coord	coord
saxophone:clarinet			coord	coord
salmon:herring			coord	coord
hotel:stay			event	event
rifle:ammunition			mero	mero
onion:cook			coord	event
car:fuel			mero	event
table:furniture			coord	hyper
herring:salmon			coord	coord
jacket:leather			coord	mero
hotel:drink			event	event
box:plastic			coord	mero
hotel:show			event	random-n
stove:oven			coord	coord
bus:hospital			coord	random-n
broccoli:beans			coord	coord
car:floor			mero	mero
pig:head			mero	mero
piano:sound			hyper	event
car:light			mero	mero
sheep:milk			event	event
cottage:roof			mero	mero
chair:new			coord	attri
hospital:hotel			coord	coord
car:photo			mero	random-n
hospital:practice			event	random-n
hotel:great			attri	random-j
bed:furniture			coord	hyper
library:new			attri	attri
piano:saxophone			coord	coord
table:new			attri	attri
oak:wood			coord	mero
car:turn			event	event
onion:celery			coord	coord
library:centre			coord	random-v
flute:cello			coord	coord
library:staff			event	mero
train:carriage			mero	mero
car:driver			mero	mero
hotel:lady			coord	random-n
bull:director			coord	random-n
trout:fish			hyper	event
car:motorbike			coord	coord
box:lid			mero	mero
castle:home			hyper	hyper
car:bicycle			coord	coord
washer:freezer			coord	coord
hospital:bed			mero	mero
bus:board			event	event
pigeon:dove			coord	coord
car:use			event	event
horse:mule			coord	coord
television:digital			coord	attri
piano:trumpet			coord	coord
hospital:state			mero	random-n
oven:freezer			coord	coord
bus:work			event	event
cottage:standard			mero	random-n
radio:system			hyper	hyper
fridge:dishwasher			coord	coord
vulture:hawk			coord	coord
piano:organ			coord	coord
dress:clothes			coord	hyper
phone:mobile			coord	attri
tuna:fish			coord	hyper
box:colour			mero	mero
television:phone			coord	coord
car:work			event	event
horse:dog			coord	coord
castle:wall			mero	mero
train:track			mero	mero
gun:ammunition			mero	mero
restaurant:door			coord	mero
castle:room			mero	mero
guitar:flute			coord	coord
coat:collar			coord	mero
bus:high			attri	random-j
horse:elephant			coord	coord
ferry:travel			event	event
eagle:nest			coord	event
pub:bar			coord	coord
jacket:hat			coord	coord
car:race			event	event
hat:jacket			coord	coord
pub:food			mero	mero
cathedral:site			hyper	hyper
sheep:animal			hyper	hyper
goods:services			hyper	random-n
car:ride			event	event
bear:head			coord	mero
television:broadcast			event	event
hospital:purpose			attri	random-n
restaurant:pub			coord	coord
truck:car			coord	coord
guitar:voice			coord	random-n
bowl:mix			coord	event
yacht:boat			coord	hyper
library:construction			event	hyper
saxophone:trumpet			coord	coord
dress:music			mero	random-n
hat:brim			mero	mero
car:windscreen			mero	mero
library:computer			mero	mero
clarinet:horn			coord	coord
guitar:harmonica			coord	coord
lemon:orange			coord	coord
trumpet:trombone			coord	coord
cottage:furniture			mero	mero
hospital:staff			mero	mero
mackerel:fish			coord	hyper
elephant:lion			coord	coord
hotel:close			attri	event
car:bike			coord	coord
chair:work			event	event
hammer:anvil			coord	coord
bus:use			event	event
library:old			attri	attri
giraffe:zebra			coord	coord
jar:lid			mero	mero
desk:chair			coord	coord
phone:use			event	event
cottage:wood			mero	mero
hotel:luxury			attri	attri
phone:button			mero	mero
cottage:hotel			attri	coord
dress:jacket			coord	coord
bus:front			coord	mero
hotel:desk			mero	mero
castle:king			mero	mero
rabbit:hare			coord	coord
violin:clarinet			coord	coord
restaurant:person			coord	mero
saxophone:guitar			coord	coord
castle:prince			mero	mero
box:pack			coord	event
hotel:inn			coord	coord
car:front			mero	mero
car:crash			event	event
