

Training : at 	1527774386.6895423
 Epoch :0, 	Average cost:3.1792117733704415

 Dev Accuracy : 63.0
 Average Dev Cost : 
 1.0620
[torch.cuda.FloatTensor of size 1 (GPU 0)]


 Testing : 
 Input 			 Prediction 	 Actual
hotel:villa			hyper	coord
mackerel:salmon			coord	coord
truck:van			coord	coord
elephant:giraffe			coord	coord
cat:rabbit			coord	coord
herring:fish			coord	hyper
cello:violin			coord	coord
bed:spring			coord	mero
box:side			mero	mero
castle:siege			mero	event
flute:clarinet			coord	coord
bus:ride			coord	event
ferry:travel			coord	event
car:back			mero	mero
castle:old			coord	attri
fridge:door			mero	mero
hotel:county			coord	random-n
phone:use			event	event
radio:broadcast			event	event
hotel:range			mero	random-v
car:window			mero	mero
eagle:vulture			coord	coord
horse:bit			mero	mero
castle:moat			mero	mero
restaurant:drink			mero	event
box:object			mero	hyper
bag:table			mero	random-n
vulture:eagle			coord	coord
hospital:visit			event	event
train:track			mero	mero
piano:guitar			coord	coord
castle:queen			hyper	mero
dress:hat			coord	coord
dress:gown			coord	mero
hotel:parking			coord	mero
potato:onion			coord	coord
library:room			mero	mero
fox:dog			coord	coord
box:case			mero	coord
horse:foot			coord	mero
hospital:chapel			mero	mero
bed:sleep			event	event
car:base			event	random-n
bus:truck			coord	coord
restaurant:manager			mero	mero
jacket:hood			mero	mero
salmon:mackerel			coord	coord
bus:passenger			coord	mero
chair:work			event	event
fox:head			coord	mero
table:play			event	event
guitar:harmonica			coord	coord
cathedral:bishop			mero	mero
horse:head			mero	mero
horse:mouth			mero	mero
box:lid			mero	mero
bed:wood			mero	mero
pub:table			mero	mero
cat:general			coord	random-n
sheep:pig			coord	coord
carp:barbel			coord	mero
vulture:hawk			coord	coord
hospital:notice			event	random-n
box:bag			coord	coord
castle:new			coord	attri
bed:desk			coord	coord
wardrobe:bed			coord	coord
car:drive			mero	event
cathedral:castle			coord	coord
car:light			mero	mero
restaurant:food			mero	mero
library:institution			hyper	hyper
phone:sound			mero	event
jacket:fleece			mero	coord
fridge:use			coord	event
crow:nest			coord	event
library:construction			event	hyper
knife:blade			mero	mero
desk:bed			coord	coord
dress:music			mero	random-n
shirt:back			mero	mero
castle:room			mero	mero
hotel:pool			mero	mero
stove:wood			mero	mero
oven:bake			event	event
stove:fridge			coord	coord
hotel:desk			mero	mero
train:new			coord	attri
cow:pig			coord	coord
box:club			coord	random-n
guitar:banjo			coord	coord
restaurant:floor			mero	mero
lion:elephant			coord	coord
horse:saddle			mero	mero
pigeon:dove			coord	coord
cottage:stone			hyper	mero
goose:duck			coord	coord
hospital:risk			event	random-n
cathedral:choir			mero	mero
villa:floor			mero	mero
castle:tower			mero	mero
hammer:anvil			coord	coord
eagle:falcon			coord	coord
phone:cable			mero	mero
hospital:school			coord	coord
car:speed			event	event
car:belt			mero	mero
chair:desk			mero	coord
trout:fish			coord	hyper
gun:ammunition			mero	mero
apple:banana			coord	coord
table:cover			mero	mero
gun:knife			coord	coord
box:store			mero	event
cat:head			mero	mero
cello:clarinet			coord	coord
hotel:pub			coord	coord
cow:goat			coord	coord
hotel:room			coord	mero
television:channel			event	mero
saxophone:guitar			coord	coord
bowl:milk			coord	mero
library:student			mero	mero
lion:bear			coord	coord
train:transport			hyper	event
dress:silk			coord	mero
hotel:castle			coord	coord
restaurant:bar			coord	mero
castle:home			hyper	hyper
flute:guitar			coord	coord
hotel:variety			mero	random-n
library:book			mero	mero
box:edge			mero	mero
train:ride			coord	event
horse:tail			mero	mero
box:wood			mero	mero
castle:visitor			hyper	mero
oven:gas			coord	mero
castle:street			coord	random-n
mackerel:tuna			coord	coord
oven:toaster			coord	coord
guitar:violin			coord	coord
chair:commission			event	random-v
shirt:jacket			coord	coord
oven:steel			coord	mero
bowl:unit			coord	random-n
phone:computer			coord	coord
box:container			mero	hyper
sheep:horse			coord	coord
fridge:washer			coord	coord
wardrobe:desk			coord	coord
library:person			mero	mero
car:oil			mero	mero
coat:collar			coord	mero
ferry:bus			coord	coord
cathedral:church			coord	hyper
hat:jacket			coord	coord
sheep:meat			event	mero
table:study			event	event
helicopter:aircraft			hyper	hyper
freezer:dishwasher			coord	coord
sheep:goat			coord	coord
cow:milk			event	event
cottage:floor			mero	mero
freezer:oven			coord	coord
box:inside			mero	mero
television:video			coord	mero
oak:birch			coord	coord
snake:head			mero	mero
bag:top			mero	random-v
bowl:mix			coord	event
bus:bike			coord	coord
castle:building			hyper	hyper
dress:trousers			coord	coord
restaurant:table			mero	mero
hotel:favourite			mero	attri
car:bus			coord	coord
fridge:food			mero	mero
yacht:boat			coord	hyper
horse:donkey			coord	coord
cabbage:broccoli			coord	coord
car:rear			mero	mero
castle:prince			coord	mero
bus:vehicle			hyper	hyper
fridge:freezer			coord	coord
bed:furniture			coord	hyper
car:park			coord	event
hospital:transfer			event	event
garlic:parsley			coord	coord
restaurant:shop			coord	coord
hotel:hospital			coord	coord
television:phone			coord	coord
banana:fruit			coord	hyper
cello:flute			coord	coord
car:brake			mero	event
horse:pig			coord	coord
garlic:fry			coord	event
restaurant:library			coord	coord
cat:dog			coord	coord
clarinet:saxophone			coord	coord
guitar:organ			coord	coord
cottage:accommodation			hyper	hyper
box:top			mero	mero
oak:willow			coord	coord
car:fuel			mero	event
truck:vehicle			coord	hyper
cottage:wood			mero	mero
sofa:bed			coord	coord
lemon:orange			coord	coord
sheep:head			coord	mero
car:roof			mero	mero
hat:scarf			coord	coord
horse:farm			coord	event
hotel:great			coord	random-j
villa:hotel			coord	coord
cottage:new			coord	attri
hospital:center			coord	mero
car:petrol			mero	mero
phone:ring			event	event
car:photo			mero	random-n
mug:tea			mero	mero
library:old			mero	attri
restaurant:castle			mero	coord
television:telephone			coord	coord
table:chair			coord	coord
television:system			coord	hyper
pine:birch			coord	coord
onion:carrot			coord	coord
cathedral:worship			hyper	event
hospital:unit			mero	mero
shirt:collar			mero	mero
library:catalogue			mero	mero
bottle:box			coord	coord
chair:bed			coord	coord
table:new			event	attri
freezer:food			mero	mero
deer:sheep			coord	coord
spinach:broccoli			coord	coord
carrot:celery			coord	coord
parsley:garlic			coord	coord
desk:study			mero	event
hotel:guest			coord	mero
table:wood			mero	mero
cello:piano			coord	coord
phone:support			event	random-v
bag:pack			coord	event
pub:drink			event	mero
trumpet:piano			coord	coord
villa:garden			mero	mero
car:door			mero	mero
cat:pet			coord	hyper
pub:bar			coord	coord
table:date			event	random-v
villa:luxury			hyper	attri
hospital:ward			mero	mero
axe:head			mero	mero
jacket:hat			coord	coord
shirt:sleeve			coord	mero
box:basket			coord	coord
car:new			coord	attri
bed:sofa			coord	coord
hospital:campaign			mero	random-n
horse:neck			mero	mero
desk:support			mero	event
bed:new			coord	attri
television:directive			event	random-n
oak:tree			hyper	hyper
flute:violin			coord	coord
castle:royal			coord	attri
bottle:glass			mero	mero
villa:bedroom			hyper	mero
hospital:surgeon			mero	mero
car:board			mero	random-n
radio:channel			coord	mero
piano:flute			coord	coord
bus:stop			coord	event
hotel:construction			hyper	hyper
shirt:cotton			mero	mero
gun:fire			mero	event
hotel:bar			coord	mero
bottle:wine			coord	mero
villa:accommodation			hyper	hyper
bowl:soup			coord	mero
restaurant:store			coord	coord
